GUID 1f6a37c661c5461fa269f5a5bc0ebe65
Type Spawn
ID 33003

Roots 5
Root_0_Spawn_ID 681
Root_0_Weight 9
Root_1_Spawn_ID 682
Root_1_Weight 9
Root_2_Spawn_ID 786
Root_2_Weight 9
Root_3_Spawn_ID 788
Root_3_Weight 9
Root_4_Spawn_ID 791
Root_4_Weight 9

Tables 46
Table_0_Asset_ID 20220
Table_0_Weight 9
Table_1_Asset_ID 20222
Table_1_Weight 9
Table_2_Asset_ID 20226
Table_2_Weight 9
Table_3_Asset_ID 20228
Table_3_Weight 9
Table_4_Asset_ID 20231
Table_4_Weight 9
Table_5_Asset_ID 20234
Table_5_Weight 9
Table_6_Asset_ID 20237
Table_6_Weight 9
Table_7_Asset_ID 20240
Table_7_Weight 9
Table_8_Asset_ID 20243
Table_8_Weight 9
Table_9_Asset_ID 20246
Table_9_Weight 9
Table_10_Asset_ID 20247
Table_10_Weight 9
Table_11_Asset_ID 20250
Table_11_Weight 9
Table_12_Asset_ID 20251
Table_12_Weight 9
Table_13_Asset_ID 20252
Table_13_Weight 9
Table_14_Asset_ID 20254
Table_14_Weight 9
Table_15_Asset_ID 20255
Table_15_Weight 9
Table_16_Asset_ID 20257
Table_16_Weight 9
Table_17_Asset_ID 20259
Table_17_Weight 9
Table_18_Asset_ID 20261
Table_18_Weight 9
Table_19_Asset_ID 20262
Table_19_Weight 9
Table_20_Asset_ID 20264
Table_20_Weight 9
Table_21_Asset_ID 20265
Table_21_Weight 9
Table_22_Asset_ID 20267
Table_22_Weight 9
Table_23_Asset_ID 20268
Table_23_Weight 9
Table_24_Asset_ID 20269
Table_24_Weight 9
Table_25_Asset_ID 20270
Table_25_Weight 9
Table_26_Asset_ID 20272
Table_26_Weight 9
Table_27_Asset_ID 20274
Table_27_Weight 9
Table_28_Asset_ID 20275
Table_28_Weight 9
Table_29_Asset_ID 20276
Table_29_Weight 9
Table_30_Asset_ID 20277
Table_30_Weight 9
Table_31_Asset_ID 20278
Table_31_Weight 9
Table_32_Asset_ID 20221
Table_32_Weight 9
Table_33_Asset_ID 20224
Table_33_Weight 9
Table_34_Asset_ID 20230
Table_34_Weight 9
Table_35_Asset_ID 20233
Table_35_Weight 9
Table_36_Asset_ID 20239
Table_36_Weight 9
Table_37_Asset_ID 20249
Table_37_Weight 9
Table_38_Asset_ID 20245
Table_38_Weight 9
Table_39_Asset_ID 20236
Table_39_Weight 9
Table_40_Asset_ID 20248
Table_40_Weight 9
Table_41_Asset_ID 20279
Table_41_Weight 9
Table_42_Asset_ID 20281
Table_42_Weight 9
Table_43_Asset_ID 20282
Table_43_Weight 9
Table_44_Asset_ID 20284
Table_44_Weight 9
Table_45_Asset_ID 20285
Table_45_Weight 9
